Năm,Thực tế,RK4 (Triệu),Exact (Triệu),Sai số RK4 (%)
1990,65.504552,65.504552,65.504552,0.0
1991,66.891775,66.5983612807372,66.8917749763239,0.43863945793455394
1992,68.260337,67.69607091885246,68.26033695281336,0.8266382879820103
1993,69.586384,68.79722668470787,69.60860400844459,1.134068577686304
1994,70.864391,69.90136851616678,70.93505016144866,1.3589653001226158
1995,72.04994,71.00803127494537,72.23826267766917,1.4460924256906247
1996,73.156447,72.11674552120814,73.51694620425882,1.421202807719537
1997,74.226889,73.22703830370284,74.76992573435504,1.3470195366764717
1998,75.29966,74.33843396263362,75.99614842647047,1.2765343659803872
1999,76.287452,75.4504549423931,77.19468431879851,1.0971621618807086
2000,77.154011,76.56262261121176,78.36472599317766,0.7665037515525047
2001,77.969361,77.67445808474034,79.50558725587132,0.37822923194108177
2002,78.772224,78.78548305055575,80.61670091247738,0.016832139404570012
2003,79.563777,79.89522059057602,81.69761572213494,0.4165759885632565
2004,80.338971,81.00319599838183,82.74799262176595,0.8267780755890264
2005,81.088313,82.10893758847519,83.76760031446636,1.2586580614584824
2006,82.167897,83.21197749455531,84.75631031748028,1.2706671737689925
2007,83.633375,84.3118524539607,85.71409156463676,0.8112520318122947
2008,85.175788,85.4081045755117,86.64100465591196,0.2727495465163212
2009,86.460018,86.50028208809064,87.53719584313336,0.04656960410375756
2010,87.455152,87.58794006741381,88.40289083601114,0.15183561445735397
2011,88.468314,88.67064113858243,89.23838850690461,0.22870011808116833
2012,89.510356,89.74795615214505,90.0440545662517,0.2654443159013344
2013,90.573104,90.81946483156163,90.82031527362318,0.2720021956646548
2014,91.679578,91.8847563901272,91.56765124212212,0.2237994486920386
2015,92.823254,92.94343011559063,92.28659138651403,0.12946768230148883
2016,94.000117,93.99509592088846,92.97770705820311,0.0053415668743723565
2017,95.176977,95.0393748596041,93.64160640310506,0.14457502721051826
2018,96.237319,96.0758996049581,94.27892897171209,0.16773056099152514
2019,97.173776,97.10431489133254,94.89034060429229,0.0714813312055182
2020,99.079191,98.12427791753144,95.47652860827523,0.9637877265959414
