Năm,RK4 (Triệu),Exact (Triệu)
2025,103.08622622341785,98.05412945146296
2026,104.04901582675348,98.50408116377218
2027,105.00132821646116,98.93388106978374
2028,105.94293012356177,99.34425152232212
2029,106.87360261488335,99.73590665839068
2030,107.79314111152497,100.10955051388773
2031,108.70135537235059,100.46587537675698
2032,109.59806944371194,100.80556036359924
2033,110.48312157670419,101.12927020456712
2034,111.35636411335115,101.43765422137021
2035,112.21766334319766,101.73134548340083
2036,113.06689933185602,102.010960127322
2037,113.90396572311023,102.27709682590698
2038,114.72876951622729,102.53033639246443
2039,115.54123082015934,102.77124150779701
2040,116.34128258634328,103.00035655730767
2041,117.12887032181743,103.21820756657002
2042,117.90395178437758,103.42530222439933
2043,118.66649666148813,103.6221299831903
2044,119.41648623464836,103.80916222701387
2045,120.15391303089065,103.98685249867995
2046,120.87878046305552,104.15563677767021
2047,121.5911024604512,104.31593380151773
2048,122.29090309146042,104.46814542385633
2049,122.97821617960791,104.61265700297676
2050,123.6530849145472,104.7498378153091
